DETAILED DATABASE

+--------+---------------------------+---------------------------+------+------+----------------------------------------------------------------------------------------------------------------------------------+---------+---------+---------+-------------+------------+------+------+----------+---------+---------+---------+-------------+------------+------+------+----------+---------+
|  ROLL  |            NAME           |        FATHER_NAME        | SEM1 | SEM2 |                                                             PENDING1                                                             | STATUS1 | SEM1_CO | SEM2_CO | PENDING1_CO | STATUS1_CO | SEM3 | SEM4 | PENDING2 | STATUS2 | SEM3_CO | SEM4_CO | PENDING2_CO | STATUS2_CO | SEM5 | SEM6 | PENDING3 | STATUS3 |
+--------+---------------------------+---------------------------+------+------+----------------------------------------------------------------------------------------------------------------------------------+---------+---------+---------+-------------+------------+------+------+----------+---------+---------+---------+-------------+------------+------+------+----------+---------+
| 14101  |      ABHISHEK CHAUHAN     |   LOKENDRA SINGH CHAUHAN  | 552  | 590  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 624  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14102  |       ABHISHEK KUMAR      |        NAVEEN KUMAR       | 568  | 589  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 624  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14103  |      ABHISHEK MISHRA      |  NARENDRA PRAKASH MISHRA  | 675  | 668  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 730  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14104  |    ABHUDAY SINGH HARSH    |     RAKESH KUMAR SINGH    | 668  | 691  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 682  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14105  |    AKHAND PRATAP SINGH    |      UDAI BHAN SINGH      | 802  | 764  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 829  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14106  |     AKSHAT SRIVASTAVA     |  RAJESH PRATAP SRIVASTAVA | 781  | 806  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 767  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14107  |       AKSHAY MISHRA       |         A K MISHRA        | 796  | 832  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 756  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14108  |         AMIT SINGH        |       RANVIJAY SINGH      | 847  | 824  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 799  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14109  |     ANKIT KUMAR SINGH     |       HARE RAM SINGH      | 750  | 722  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 729  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14110  |        ANURAG SINGH       |     RAMJI SINGH YADAV     | 738  | 778  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 762  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14111  |         ARJUN PANU        |        VIKRAM SINGH       | 722  | 723  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 698  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14112  |        ARVIND YADAV       |      BHOLANATH YADAV      | 673  | 712  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 723  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14113  |     ASHAY KUMAR ASHISH    |    ASHISH KUMAR SAXENA    | 812  | 780  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 842  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14114  |     ASHISH KUMAR VERMA    |       SIYARAM VERMA       | 726  | 696  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 703  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14115  |     ATUL KUMAR TIWARI     |  SHAILENDRA KUMAR TIWARI  | 806  | 772  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 815  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14116  |        ATUL SHARMA        |         RAM NIWAS         | 774  | 760  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 714  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14117  |       AVANISH KUMAR       |      ABHIMANYU SINGH      | 757  | 778  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 762  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14118  |        AVTAR SINGH        |        JAYPAL SINGH       | 838  | 810  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 850  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14119  |       BHUVNESH YADAV      |    VEER PAL SINGH YADAV   | 730  | 673  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 719  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14120  |      DEEPAK CHAUDHARY     |        SAHDEV SINGH       | 788  | 816  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 815  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14121  |     GAURAV KUMAR GUPTA    |        VINOD GUPTA        | 739  | 740  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 799  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14122  |       GAURAV PANDEY       |      RAMUJAGIR PANDEY     | 498  | 614  |                                                 KAS102, KAS203, KAS103, KEE101,                                                  |  PCP(4) |    -    |    -    |      -      |     -      | 596  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
